Designator,Mid X,Mid Y,Rotation,Layer
C1,123.25,-90.9,180.0,top
C10,137.61,-106.5,90.0,top
C2,130.6,-87.8,0.0,bottom
C4,123.9,-86.5,90.0,top
C5,122.15,-86.5,90.0,top
C6,120.4,-86.5,90.0,top
C7,137.6,-110.0,90.0,top
C8,135.9,-110.0,90.0,top
C9,135.9,-106.5,90.0,top
D1,137.85,-113.3,0.0,top
D2,148.9,-91.9,0.0,top
D3,148.9,-90.1,0.0,top
D4,129.39,-112.69,180.0,top
D5,128.1,-105.5,90.0,bottom
J1,119.5,-111.0,90.0,top
J2,126.5,-117.0,0.0,top
J3,139.25,-117.0,0.0,top
J4,150.3,-108.6,90.0,top
J5,150.3,-99.55,90.0,top
J6,117.31,-96.55,90.0,top
R1,123.25,-89.25,0.0,top
R5,141.4,-113.3,180.0,top
R6,151.01,-87.35,270.0,top
R7,149.12,-87.3,270.0,top
U1,135.3125,-90.5,0.0,top
U2,143.4,-108.55,0.0,top
U3,123.76,-95.39,180.0,bottom
U4,130.15,-107.6,0.0,top
