Designator,Mid X,Mid Y,Rotation,Layer
C1,127.0,-80.25,180.0,top
C10,130.0,-103.5,90.0,top
C2,147.0,-98.9,-90.0,bottom
C3,136.29,-99.09,-90.0,bottom
C4,128.75,-75.735,90.0,top
C5,127.0,-75.74,90.0,top
C6,125.25,-75.74,90.0,top
C7,130.0,-107.04,90.0,top
C8,128.25,-107.04,90.0,top
C9,128.25,-103.5,90.0,top
D1,118.0,-79.75,0.0,top
D2,153.9425,-75.43,0.0,top
D3,153.9425,-73.68,0.0,top
D4,121.45,-106.67,180.0,top
D5,123.5,-94.7,90.0,bottom
J1,119.45,-101.7575,90.0,top
J10,163.0,-88.0,90.0,top
J11,163.25,-101.25,90.0,top
J2,124.75,-112.45,0.0,top
J3,134.25,-112.45,0.0,top
J4,143.5,-112.45,0.0,top
J5,152.75,-112.45,0.0,top
J6,117.7,-88.0,90.0,top
J7,143.14,-107.24,90.0,top
J8,157.05,-88.0,90.0,top
J9,157.1,-101.25,90.0,top
Q1,144.1,-103.25,0.0,top
Q2,151.6,-103.25,180.0,top
R1,127.0,-78.5,0.0,top
R2,146.85,-86.6,-90.0,bottom
R3,147.9,-102.3,0.0,top
R4,147.9,-104.2,180.0,top
R5,121.25,-79.75,180.0,top
R6,158.38,-71.24,-90.0,top
R7,156.18,-71.24,-90.0,top
R8,145.2,-86.6,-90.0,bottom
S1,147.0,-98.44,180.0,top
S2,136.29,-98.49,180.0,top
U1,140.0,-80.5,0.0,top
U2,135.75,-105.5,0.0,top
U3,124.5,-86.9,180.0,bottom
