Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1uF,
"C10, C2, C3, C4, C5, C8",0603,6,0.1uF,
C6,0603,1,22uF,
"C7, C9",0603,2,10uF,
"D1, D2, D3",0603,3,LED,
"D4, D5",D_SMA,2,SS34,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical,1,Conn_01x02,
"J10, J11, J8, J9",JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,4,Conn_01x05,
"J2, J3, J4, J5",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,4,Conn_01x03,
J6,USB_Micro-B_Wuerth_614105150721_Vertical,1,USB_B_Micro,
J7,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,6,SI2302,
"R1, R10, R11, R12, R13, R14, R15, R16, R2, R3, R4, R8, R9",0603,13,10K,
"R5, R6, R7",0603,3,1K,
"S1, S2",430181038816,2,4x4mm_Switch,
U1,ESP32S3WROOM1N8R8,1,ESP32-S3-WROOM-1-N8R8,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,SOT-23-6,1,USBLC6-2SC6,
