Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C3, C4, C5, C8",0603,6,0.1uF,
C2,0603,1,1uF,
C6,0603,1,22uF,
"C7, C9",0603,2,10uF,
"D1, D2, D3, D5",0603,4,LED,
D4,D_SMA,1,SS34,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical,1,Conn_01x02,
"J10, J11, J4, J5, J6, J7, J8, J9",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,8,Conn_01x04,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
J3,USB_Micro-B_Wuerth_614105150721_Vertical,1,USB_B_Micro,
"JP1, JP2, JP3, JP4, JP5, JP6, JP7",SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,7,SolderJumper_3_Open,
"Q1, Q2",SOT-23,2,SI2302,
"R1, R2, R3",0603,3,10K,
"R4, R5, R6, R7",0603,4,1K,
"U1, U4",Tactile_Switch,2,Tactile_Switch,
U2,SOT-23-6,1,USBLC6-2SC6,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U5,ESP32-S3-WROOM1-N4R2,1,ESP32-S3-WROOM,
