Designator,Mid X,Mid Y,Rotation,Layer
C1,158.5,-105.8,270.0,bottom
C10,140.1,-109.09,0.0,top
C2,138.3,-86.4,180.0,top
C3,148.47,-106.12,270.0,bottom
C4,139.95,-82.25,90.0,top
C5,138.3,-82.25,90.0,top
C6,136.65,-82.25,90.0,top
C7,136.23,-110.75,0.0,top
C8,136.22,-109.1,0.0,top
C9,140.1,-110.75,0.0,top
D1,131.25,-113.825,90.0,top
D2,164.35,-78.95,0.0,top
D3,164.35,-76.8,0.0,top
D4,138.3,-104.82,180.0,top
D5,128.9,-113.825,90.0,top
J1,128.9,-104.8275,90.0,top
J10,173.95,-90.35,90.0,top
J11,148.95,-119.65,0.0,top
J2,147.9,-114.45,90.0,top
J3,127.7,-91.8,90.0,top
J4,167.8,-90.35,90.0,top
J5,173.95,-101.5,90.0,top
J6,167.8,-101.5,90.0,top
J7,173.95,-112.65,90.0,top
J8,167.8,-112.65,90.0,top
J9,160.15,-119.65,0.0,top
Q1,149.4,-110.7,0.0,top
Q2,156.9,-110.7,180.0,top
R1,138.3,-84.75,0.0,top
R2,153.15,-109.75,0.0,top
R3,153.15,-111.65,180.0,top
R4,131.25,-110.475,270.0,top
R5,167.7,-78.95,180.0,top
R6,167.7,-76.8,180.0,top
R7,128.9,-110.475,270.0,top
U1,158.5,-105.8,180.0,top
U2,134.8,-91.4,180.0,bottom
U3,138.3,-116.5,270.0,top
U4,147.8,-105.8,180.0,top
U5,151.295,-86.99,0.0,top
